blockNum,safeLow,average,fast,fastest
11310890,560,560,580,670
11310921,340,440,660,670
11310924,520,520,670,740
11310923,400,440,660,670
11311073,490,520,670,670
11311077,490,530,670,670
11311086,430,530,670,670
11311087,480,530,670,680
11311089,480,530,670,680
11311091,430,530,670,670
11311093,480,530,660,680
11311094,480,530,660,680
11311096,430,530,670,670
11311100,430,520,660,670
11311102,430,530,660,670
11311098,450,530,660,680
11311161,520,520,630,660
11311165,520,520,630,660
11311167,520,520,630,660
